I_BON_001	Beast Bone
I_BON_003	Small Scale
I_BON_004	Tiny Tortoise Shell
I_BON_005	Large Scale
I_BON_006	Dragon Horn
I_BON_007	Crimson Coral
I_BON_010	Maiden's Favor
I_BON_011	Big Bone
I_BON_014	Twisted Talons
I_BON_016	Serpent Bone
I_BON_020	Magic Beast Horn
I_BON_022	Sun-Bleached Seashell
I_CLO_002	Flaxen Thread
I_CLO_003	Evencloth
I_CLO_004	Celestial Skein
I_CLO_005	Faerie Fluff
I_CLO_006	Thinkincense
I_CLO_007	Cherry Blossom Petal
I_CLO_008	Buzzberries
I_CLO_009	Glimmergrass
I_CLO_010	Colourful Cocoon
I_CLO_011	Technicolor Dreamcloth
I_CLO_012	Kaleidocloth
I_CLO_015	Narspicious
I_CLO_016	Cottontop
I_CLO_017	Silkblossom
I_CLO_018	Flurry Feather
I_CLO_019	Butterfly Wing
I_CLO_020	Waveweed
I_CLO_021	Slipweed
I_JEW_001	Red Eye
I_JEW_002	Blue Eye
I_JEW_003	Yellow Eye
I_JEW_004	Green Eye
I_JEW_005	Purple Eye
I_JEW_006	Pink Pearl
I_JEW_007	Pale Pearl
I_JEW_008	Pitch Pearl
I_JEW_009	Royal Ruby
I_JEW_010	Savvy Sapphire
I_JEW_012	Sunny Citrine
I_JEW_013	Equable Emerald
I_JEW_014	Artful Amethyst
I_JEW_016	Black Tear
I_JEW_017	Spectralite
I_LEA_001	Hardy Hide
I_LEA_002	Fine Fur
I_LEA_003	Magic Beast Hide
I_LEA_004	Lambswool
I_LEA_006	Serpent Skin
I_LEA_009	Dragon Hide
I_MIN_001	Copper Ore
I_MIN_002	Iron Ore
I_MIN_003	Silver Ore
I_MIN_004	Gold Ore
I_MIN_006	Platinum Ore
I_MIN_007	Densinium
I_MIN_008	Gold Nuglet
I_MIN_009	Gold Bar
I_MIN_010	Molten Globules
I_MIN_011	Orichalcum
I_MIN_012	Dracolyte
I_MIN_013	Crimsonite
I_MIN_014	Uber Agate of Evolution
I_MIN_017	Mythril Ore
I_OTH_001	Cowpat
I_OTH_002	Horse Manure
I_OTH_003	Permasnow
I_OTH_004	Oasis Water
I_OTH_006	Fresh Water
I_OTH_007	Thunderball
I_OTH_008	Saint's Ashes
I_OTH_009	Belle Cap
I_OTH_010	Sparkly Sap
I_OTH_011	Chronocrystal
I_OTH_012	Goobricant
I_OTH_013	Wing of Bat
I_OTH_014	Slimedrop
I_OTH_015	Sainted Soma
I_OTH_016	Grubby Bandage
I_OTH_017	Toad Oil
I_OTH_018	Snakeskin
I_OTH_019	Rippledrops
I_OTH_020	Royal Soil
I_OTH_023	Finessence
I_OTH_028	Water Sedge
I_OTH_029	Duneberry
I_OTH_030	Extra Mural
I_OTH_031	Slime Crown
I_STO_001	Flintstone
I_STO_002	Agate of Evolution
I_STO_003	Warmaline
I_STO_004	Lamplight
I_STO_005	Enchanted Stone
I_STO_006	Lava Lump
I_STO_009	Fire Ball
I_STO_010	Brighten Rock
I_STO_011	Glass Frit
I_STO_012	Lucida Shard
I_STO_013	Kitty Litter
I_STO_014	Ice Crystal
I_STO_015	Mirrorstone
I_STO_016	Ethereal Stone
I_STO_017	Dieamend
I_USE_001	Medicinal Herb
I_USE_002	Strong Medicine
I_USE_003	Special Medicine
I_USE_004	Superior Medicine
I_USE_005	Antidotal Herb
I_USE_006	Strong Antidote
I_USE_007	Special Antidote
I_USE_008	Moonwort Bulb
I_USE_009	Softwort
I_USE_010	Lunaria
I_USE_011	Angel Bell
I_USE_012	Panacea
I_USE_013	Perfect Panacea
I_USE_014	Yggdrasil Leaf
I_USE_015	Yggdrasil Dew
I_USE_016	Single Phial
I_USE_017	Magic Water
I_USE_018	Sage's Elixir
I_USE_019	Elfin Elixir
I_USE_020	Holy Water
I_USE_021	Chimaera Wing
I_USE_023	Coagulant
I_USE_024	Tangleweb
I_USE_025	Sleeping Hibiscus
I_USE_026	Wakerobin
I_USE_027	Mystifiying Mixture
I_USE_028	Rockbomb Shard
I_USE_029	Sage's Stone
I_USE_030	Seed of Life
I_USE_031	Seed of Magic
I_USE_032	Seed of Strength
I_USE_033	Seed of Deftness
I_USE_034	Seed of Agility
I_USE_035	Seed of Defence
I_USE_036	Seed of Sorcery
I_USE_037	Seed of Therapeusis
I_USE_038	Seed of Skill
I_USE_039	Pretty Betsy
I_USE_040	Pep Pip
I_USE_041	Pep Pop
I_USE_042	Drasilian Shilling
I_USE_043	Drasilian Guinea
I_USE_044	Drasilian Sovereign
I_USE_045	Mini Medal
I_USE_046	Perfectionist Pearl
I_USE_047	Love Potion
I_USE_048	Casino Token
I_USE_049	Serpent's Soul
I_USE_050	Cheat Sheet
I_USE_301	Super Seed of Defense
I_USE_302	Super Seed of Strength
I_USE_303	Super Seed of Magic
I_USE_304	Super Seed of Life
I_USE_998	War Drum
I_USE_999	Benevolessence
I_WOO_002	Pink Pine
I_WOO_005	Fatalistick
I_WOO_006	Fire Wood
I_WOO_007	Avabranche
I_WOO_008	Spellbound Bough
I_WOO_009	Wyrmwood
I_WOO_010	Witherwood
I_WOO_011	Red Wood
I_WOO_012	Cumulonimbough
I_WOO_013	Night Stick
W_AXE_0001	Cavalier Cleaver
W_AXE_0002	King Axe
W_AXE_0003	Ice Axe
W_AXE_0004	Kaiser Axe
W_AXE_0005	Obliteratoriser
W_AXE_0006	Overlord's Axe
W_AXE_0007	Bad Axe
W_AXE_0008	Conqueror's Axe
W_AXE_0009	Avalanche Axe
W_AXE_0010	Maxi Axe
W_AXE_0011	Apollo's Axe
W_AXE_0012	Climaxe
W_AXE_0013	Aristocrat's Axe
W_AXE_0014	Kairos Cleaver
W_AXE_0015	Galaxy Axe
W_BOO_0001	Edged Boomerang
W_BOO_0002	Null (boomerang 2)
W_BOO_0003	Crucerang
W_BOO_0004	Null (boomerang 4)
W_BOO_0005	Soarin' Steel
W_BOO_0006	Flametang Boomerang
W_BOO_0007	Winter's Wing
W_BOO_0008	Magic Circle
W_BOO_0009	Banefire Boomerang
W_BOO_0010	Star Cross
W_BOO_0011	Pentarang
W_BOO_0012	Metal Goomerang
W_BOO_0013	Meteorang
W_BOO_0014	Asterang
W_BOO_0015	Stellarang
W_BOO_0016	Liquid Metal Goomerang
W_BOO_0017	Dark Star
W_BOO_0018	Hunter's Moon
W_BOO_0019	Galaxarang
W_BOO_0020	Metal King Goomerang
W_BOO_0021	Birchwood Boomerang
W_BOO_0022	Boomerang
W_CLW_0001	Iron Claws
W_CLW_0002	Silver Claws
W_CLW_0003	Infernails
W_CLW_0004	Steel Claws
W_CLW_0005	Crow's Claws
W_CLW_0006	Platinum Claws
W_CLW_0007	Kestrel Claws
W_CLW_0008	Fire Claws
W_CLW_0009	Ice Claws
W_CLW_0010	Kite Claws
W_CLW_0011	Cobra Claws
W_CLW_0012	Dragon Claws
W_CLW_0013	Crimson Claws
W_CLW_0014	Beast Claws
W_CLW_0015	Dragonlord Claws
W_CLW_0016	Combusticlaws
W_CLW_0017	King Cobra Claws
W_CLW_0018	Monster Slashers
W_CLW_0019	Beastmaster Claws
W_CLW_0020	Crystal Claws
W_CLW_0021	Dragovian Lord Claws
W_CLW_0022	Orichalcum Claws
W_CLW_0023	Deicimators
W_CLW_0024	Xenlon Claws
W_CLW_0025	Frostfire Fingers
W_CLW_0998	Golden Claws
W_DGR_0001	Erik's Dagger
W_DGR_0002	Bronze Knife
W_DGR_0003	Poison Needle
W_DGR_0004	Divine Dagger
W_DGR_0005	Poison Moth Knife
W_DGR_0006	Batterfly Knife
W_DGR_0007	Assassin's Dagger
W_DGR_0008	Dread Dagger
W_DGR_0009	Eagle Dagger
W_DGR_0010	Nobleman's Knife
W_DGR_0011	Bloodletter
W_DGR_0012	Sword Breaker
W_DGR_0013	Fenrir Fang
W_DGR_0014	Soul Breaker
W_DGR_0015	Icicle Dirk
W_DGR_0016	Serpentscale Skean
W_DGR_0017	Imp Knife
W_DGR_0018	Gladius
W_DGR_0019	Falcon Knife Earring
W_DGR_0020	Flame Tang
W_DGR_0021	Deft Dagger
W_DGR_0022	High-Born Blade
W_DGR_0023	Knife of Strife
W_DGR_0024	Darting Dagger
W_DGR_0025	Gyphon's Wing
W_DGR_0026	Dashing Dagger
W_DGR_0027	Thunderstorm Skean
W_DGR_0028	El Stupendo
W_DGR_0029	Timeshear
W_DGR_0030	Dynamo Dagger
W_ROD_0001	Faerie Staff
W_ROD_0002	Veronica's Staff
W_ROD_0003	Wizard's Staff
W_ROD_0004	Staff of Sentencing
W_ROD_0005	Shiverstick
W_ROD_0006	Staff of Divine Wrath
W_ROD_0007	Rab's Cane
W_ROD_0008	Watermaul Wand
W_ROD_0009	Lightning Staff
W_ROD_0010	Rod of Rapidity
W_ROD_0011	Tsunami Staff
W_ROD_0012	Magma Staff
W_ROD_0013	Staff of Antimagic
W_ROD_0014	Lightning Conductor
W_ROD_0015	Rune Staff
W_ROD_0016	Hieroglyph Staff
W_ROD_0017	Hocus Locus
W_ROD_0018	Staff of Resurrection
W_ROD_0019	Celestial Sceptre
W_ROD_0020	Spirit Staff
W_ROD_0021	Sage's Staff
W_ROD_0022	Siren's Staff
W_ROD_0023	Bright Staff
W_ROD_0024	Sacrosanct Staff
W_ROD_0025	Wyrmwand
W_ROD_0026	Supreme Sage's Staff
W_ROD_0027	Shining Staff
W_ROD_0028	Brilliant Staff
W_ROD_0029	Rod of Paradise
W_ROD_0030	Staff of Eternity
W_ROD_0031	Aurora Staff
W_ROD_0998	Godbird Sceptre
W_SPR_0001	Bronze Lance
W_SPR_0002	Iron Lance
W_SPR_0003	Battle Fork
W_SPR_0004	Steel Lance
W_SPR_0005	Jade's Glaive
W_SPR_0006	Trident
W_SPR_0007	Lightning Lance
W_SPR_0008	Platinum Lance
W_SPR_0009	Gracos's Trident
W_SPR_0010	Demon Spear
W_SPR_0011	Storm Spear
W_SPR_0012	Full Fathom Fork
W_SPR_0013	Paladin's Lance
W_SPR_0014	Metal Slime Spear
W_SPR_0015	Poker
W_SPR_0016	Seraph's Spear
W_SPR_0017	Straight Poker
W_SPR_0018	Liquid Metal Spear
W_SPR_0019	Stud Poker
W_SPR_0020	Barbarous Pole
W_SPR_0021	Sacred Spear
W_SPR_0022	Heaven's Talon
W_SPR_0023	Metal King Spear
W_SPR_0024	Split-Pot Poker
W_STK_0001	Serena's Wand
W_STK_0002	Lamp Post
W_STK_0003	Posey Pole
W_STK_0004	Lolly Stick
W_STK_0005	Jolly Brolly
W_STK_0006	Wyvern Wand
W_STK_0007	Seraphic Sceptre
W_STK_0008	Spryggrasil
W_STK_0009	Glumbrella
W_STK_0010	Bonbon Baton
W_STK_0011	Red Dragon Rod
W_STK_0012	Seraph's Stick
W_STK_0013	Butterfly Baton
W_STK_0014	Glow Stick
W_STK_0015	Get-up-and-Glow Stick
W_STK_0016	Pixie Pole
W_STK_0017	Fantastick
W_STK_0018	Cane of Compassion
W_STK_0019	Sceptre of Time
W_STK_0020	Faerie King's Cane
W_STK_0021	Rusty Sceptre
W_STK_0022	Naughty Stick
W_SWD_0001	Cobblestone Sword
W_SWD_0002	Copper Sword
W_SWD_0003	Soldier's Sword
W_SWD_0004	Bronze Sword
W_SWD_0005	Rapier
W_SWD_0006	Iron Broadsword
W_SWD_0007	Syvlando's Sword
W_SWD_0008	Cautery Sword
W_SWD_0009	Silver Rapier
W_SWD_0010	Steel Broadsword
W_SWD_0011	Bastard Sword
W_SWD_0012	Bandit Blade
W_SWD_0013	Falcon Blade
W_SWD_0014	Zombiesbane
W_SWD_0015	Platinum Sword
W_SWD_0016	Zombie Slayer
W_SWD_0017	Aurora Blade
W_SWD_0018	Fizzle Foil
W_SWD_0019	Dragonsbane
W_SWD_0020	Miracle Sword
W_SWD_0021	Fire Blade
W_SWD_0022	Sword of Light
W_SWD_0023	Null (sword 23)
W_SWD_0024	Metal Slime Sword
W_SWD_0025	Stardust Sword
W_SWD_0026	Uber Miracle Sword
W_SWD_0027	Uber Falcon Blade
W_SWD_0028	Inferno Blade
W_SWD_0029	Nebula Sword
W_SWD_0030	Dragon Slayer
W_SWD_0031	Liquid Metal Sword
W_SWD_0032	Supernova Sword
W_SWD_0033	Thunderstorm Sword
W_SWD_0034	Thousand-Fold Katana
W_SWD_0035	Sword of Judgment
W_SWD_0036	Super Sword of Light
W_SWD_0037	Drustan's Sword
W_SWD_0038	Shamshir of Light
W_SWD_0039	Hell Sabre
W_SWD_0040	Metal King Sword
W_SWD_0041	Hypernova Sword
W_SWD_0042	Heliodorian Sword
W_SWD_0043	Sword of Kings
W_SWD_0044	Supreme Sword of Light
W_SWD_0045	Cypress Stick
W_TSW_0001	Copper Chopper
W_TSW_0002	Broad Sword
W_TSW_0003	Cast-Iron Claymore
W_TSW_0004	Broader Sword
W_TSW_0005	Black Blade
W_TSW_0006	Carbon Steel Claymore
W_TSW_0007	Banishing Blade
W_TSW_0008	Razer-Wing
W_TSW_0009	Nightcleaver
W_TSW_0010	Platinum Powersword
W_TSW_0011	Hendrik's Greatsword
W_TSW_0012	Demonsbane
W_TSW_0013	Brimstone Blade
W_TSW_0014	Wyrmfang
W_TSW_0015	Metal Gooreatsword
W_TSW_0016	Lord's Sword
W_TSW_0017	Skysteed Sword
W_TSW_0018	Liquid Metal Gooreatsword
