I_BON_001	beast bone
I_BON_003	small scale
I_BON_004	tiny tortoise shell
I_BON_005	large scale
I_BON_006	dragon horn
I_BON_007	crimson coral
I_BON_010	maiden's favor
I_BON_011	big bone
I_BON_014	twisted talons
I_BON_016	serpent bone
I_BON_020	magic beast horn
I_BON_022	sun-bleached seashell
I_CLO_002	flaxen thread
I_CLO_003	evencloth
I_CLO_004	celestial skein
I_CLO_005	faerie fluff
I_CLO_006	thinkincense
I_CLO_007	cherry blossom petal
I_CLO_008	buzzberries
I_CLO_009	glimmergrass
I_CLO_010	colourful cocoon
I_CLO_011	technicolour dreamcloth
I_CLO_012	kaleidcloth
I_CLO_015	narspicious
I_CLO_016	cottontop
I_CLO_017	silkblossom
I_CLO_018	flurry feather
I_CLO_019	butterfly wing
I_CLO_020	waveweed
I_CLO_021	slipweed
I_JEW_001	red eye
I_JEW_002	blue eye
I_JEW_003	yellow eye
I_JEW_004	green eye
I_JEW_005	purple eye
I_JEW_006	pink pearl
I_JEW_007	pale pearl
I_JEW_008	pitch pearl
I_JEW_009	royal ruby
I_JEW_010	savvy sapphire
I_JEW_012	sunny citrine
I_JEW_013	equable emerald
I_JEW_014	artful amethyst
I_JEW_016	black tear
I_JEW_017	spectralite
I_LEA_001	hardy hide
I_LEA_002	fine fur
I_LEA_003	magic beast hide
I_LEA_004	lambswool
I_LEA_006	serpent skin
I_LEA_009	dragon hide
I_MIN_001	copper ore
I_MIN_002	iron ore
I_MIN_003	silver ore
I_MIN_004	gold ore
I_MIN_006	platinum ore
I_MIN_007	densinium
I_MIN_008	gold nuglet
I_MIN_009	gold bar
I_MIN_010	molten globules
I_MIN_011	orichalcum
I_MIN_012	dracolyte
I_MIN_013	crimsonite
I_MIN_014	uber agate of evolution
I_MIN_017	mythril ore
I_OTH_001	cowpat
I_OTH_002	horse manure
I_OTH_003	permasnow
I_OTH_004	oasis water
I_OTH_006	freash water
I_OTH_007	thunderball
I_OTH_008	saint's ashes
I_OTH_009	belle cap
I_OTH_010	sparkly sap
I_OTH_011	chronocrystal
I_OTH_012	NULL
I_OTH_013	wing of bat
I_OTH_014	slimedrop
I_OTH_015	sainted soma
I_OTH_016	grubby bandage
I_OTH_017	toad oil
I_OTH_018	snakeskin
I_OTH_019	rippledrops
I_OTH_020	royal soil
I_OTH_023	finessence
I_OTH_028	water sedge
I_OTH_029	duneberry
I_OTH_030	extra mural
I_OTH_031	slime crown
I_STO_001	flintstone
I_STO_002	agate of evolution
I_STO_003	warmaline
I_STO_004	lamplight
I_STO_005	enchanted stone
I_STO_006	lava lump
I_STO_009	fire ball
I_STO_010	brighten rock
I_STO_011	glass frit
I_STO_012	lucida shard
I_STO_013	kitty litter
I_STO_014	ice crystal
I_STO_015	mirrorstone
I_STO_016	ethereal stone
I_STO_017	dieamend
I_USE_001	Medicinal Herb
I_USE_002	Strong Medicine
I_USE_003	Special Medicine
I_USE_004	Superior Medicine
I_USE_005	Antidotal Herb
I_USE_006	Strong Antidote
I_USE_007	Special Antidote
I_USE_008	Moonwart Bulb
I_USE_009	Softwort
I_USE_010	Lunaria
I_USE_011	Angel Bell
I_USE_012	Panacea
I_USE_013	Perfect Panacea
I_USE_014	Yggdrasil Leaf
I_USE_015	Yggdrasil Dew
I_USE_016	single phial
I_USE_017	magic water
I_USE_018	sage's elixir
I_USE_019	elfin elxir
I_USE_020	holy water
I_USE_021	chimaera wing
I_USE_023	coagulant
I_USE_024	tangleweb
I_USE_025	sleeping hibiscus
I_USE_026	wakerobin
I_USE_027	mystifying mixture
I_USE_028	rockbomb shard
I_USE_029	sage's stone
I_USE_030	seed of life
I_USE_031	seed of magic
I_USE_032	seed of strength
I_USE_033	seed of deftness
I_USE_034	seed of agility
I_USE_035	seed of defence
I_USE_036	seed of sorcery
I_USE_037	seed of therapeusis
I_USE_038	seed of skill
I_USE_039	preety betsy
I_USE_040	pep pip
I_USE_041	pep pop
I_USE_042	drasilian shilling
I_USE_043	drasilian guinea
I_USE_044	drasilian sovereign
I_USE_045	mini medal
I_USE_046	perfectionist pearl
I_USE_047	love potion
I_USE_048	casino token
I_USE_049	serpents soul
I_USE_050	cheat sheet
I_WOO_002	pink pine
I_WOO_005	fatalistick
I_WOO_006	fire wood
I_WOO_007	avabranche
I_WOO_008	spellbound bough
I_WOO_009	wyrmwood
I_WOO_010	witherwood
I_WOO_011	red wood
I_WOO_012	cumulonimbough
I_WOO_013	nightstick
W_SWD_0001	cobblestone sword
W_SWD_0002	copper sword
W_SWD_0003	soldier's sword
W_SWD_0004	bronze sword
W_SWD_0005	rapier
W_SWD_0006	iron broadsword
W_SWD_0007	sylvando's sword
W_SWD_0008	cautery sword
W_SWD_0009	silver rapier
W_SWD_0010	steel broadsword
W_SWD_0011	bastard sword
W_SWD_0012	bandit blade
W_SWD_0013	falcon blade
W_SWD_0014	zombiesbane
W_SWD_0015	platinum sword
W_SWD_0016	zombie slayer
W_SWD_0017	aurora blade
W_SWD_0018	fizzle foil
W_SWD_0019	dragonsbane
W_SWD_0020	miracle sword
W_SWD_0021	fire blade
W_SWD_0022	sword of light
W_SWD_0023	NULL
W_SWD_0024	metal slime sword
W_SWD_0025	stardust sword
W_SWD_0026	uber miracle sword
W_SWD_0027	uber falcon blade
W_SWD_0028	inferno blade
W_SWD_0029	nebula sword
W_SWD_0030	dragon slayer
W_SWD_0031	liquid metal sword
W_SWD_0032	supernova sword
W_SWD_0033	thunderstorm sword
W_SWD_0034	thousand-fold katana
W_SWD_0035	sword of judgment
W_SWD_0036	super sword of light
W_SWD_0037	drustan's sword
W_SWD_0038	shamshir of light
W_SWD_0039	hell sabre
W_SWD_0040	metal king sword
W_SWD_0041	hypernova sword
W_SWD_0042	heliodorian sword
W_SWD_0043	NULL
W_SWD_0044	supreme sword of light
W_SWD_0045	cypress stick
W_TSW_0001	copper chopper
W_TSW_0002	broad sword
W_TSW_0003	cast-iron claymore
W_TSW_0004	broader sword
W_TSW_0005	black blade
W_TSW_0006	carbon steel claymore
W_TSW_0007	banishing blade
W_TSW_0008	razer-wing
W_TSW_0009	night cleaver
W_TSW_0010	platinum powersword
W_TSW_0011	hendrik's greatsword
W_TSW_0012	demonsbane
W_TSW_0013	brimstone blade
W_TSW_0014	wyrmfang
W_TSW_0015	metal gooreatsword
W_TSW_0016	lord's sword
W_TSW_0017	skysteel sword
W_TSW_0018	liquid metal Gooreatsword
W_TSW_0019	legate's blade
W_TSW_0020	berserker's blade
W_TSW_0021	brilliant blade
W_TSW_0022	metal king gooreatsword
W_TSW_0023	cobblestone greatsword
W_TSW_0024	sword of shadows
W_TSW_0025	sword of shadows
W_DGR_0001	erik's dagger
W_DGR_0002	bronze knife
W_DGR_0003	poison needle
W_DGR_0004	divine dagger
W_DGR_0005	poison moth knife
W_DGR_0006	butterfly knife
W_DGR_0007	assassin's dagger
W_DGR_0008	dread dagger
W_DGR_0009	eagle dagger
W_DGR_0010	nobleman's knife
W_DGR_0011	bloodletter
W_DGR_0012	sword breaker
W_DGR_0013	fenrir fang
W_DGR_0014	soul breaker
W_DGR_0015	icicle dirk
W_DGR_0016	serpentscale skean
W_DGR_0017	imp knife
W_DGR_0018	gladius
W_DGR_0019	falcon knife earring
W_DGR_0020	flame tang
W_DGR_0021	deft dagger
W_DGR_0022	high-born blade
W_DGR_0023	knife of strife
W_DGR_0024	darting dagger
W_DGR_0025	gryphon's wing
W_DGR_0026	NULL
W_DGR_0027	thunderstorm skean
W_DGR_0028	el stupendo
W_DGR_0029	timeshear
W_DGR_0030	dynamo dagger
W_BOO_0001	edged boomerang
W_BOO_0002	null
W_BOO_0003	crucerang
W_BOO_0004	null
W_BOO_0005	soarin' steel
W_BOO_0006	flametang boomerang
W_BOO_0007	winter's wing
W_BOO_0008	magic circle
W_BOO_0009	banefire boomerang
W_BOO_0010	star cross
W_BOO_0011	pentarang
W_BOO_0012	metal goomerang
W_BOO_0013	meteorang
W_BOO_0014	asterang
W_BOO_0015	null
W_BOO_0016	liquid metal goomerang
W_BOO_0017	dark star
W_BOO_0018	hunter's moon
W_BOO_0019	galaxarang
W_BOO_0020	metal king goomerang
W_BOO_0021	birchwood boomerang
W_BOO_0022	boomerang
W_ROD_0001	faerie staff
W_ROD_0002	veronica's staff
W_ROD_0003	wizard's staff
W_ROD_0004	staff of sentencing
W_ROD_0005	shiverstick
W_ROD_0006	staff of divine wrath
W_ROD_0007	rab's cane
W_ROD_0008	watermaul wand
W_ROD_0009	lightning staff
W_ROD_0010	rod of rapidty
W_ROD_0011	tsunami staff
W_ROD_0012	magma staff
W_ROD_0013	staff of antimagic
W_ROD_0014	lightning conductor
W_ROD_0015	rune staff
W_ROD_0016	hieroglyph staff
W_ROD_0017	hocus locus
W_ROD_0018	staff of resurrection
W_ROD_0019	celestial sceptre
W_ROD_0020	spirit staff
W_ROD_0021	sage's staff
W_ROD_0022	siren's staff
W_ROD_0023	bright staff
W_ROD_0024	sacrosanct staff
W_ROD_0025	wyrmwand
W_ROD_0026	supreme sage's staff
W_ROD_0027	null
W_ROD_0028	null
W_ROD_0029	rod of paradise
W_ROD_0030	staff of eternity
W_ROD_0031	aurora staff
W_WHP_0001	thorn whip
W_WHP_0002	battle whip
W_WHP_0003	hypno whip
W_WHP_0004	rose whip
W_WHP_0005	beastly bullwhip
W_WHP_0006	scorpion tail
W_WHP_0007	dragontail whip
W_WHP_0008	demon whip
W_WHP_0009	queen's whip
W_WHP_0010	archdemon whip
W_WHP_0011	empress's whip
W_WHP_0012	beelzebarb
W_WHP_0013	gringham whip
W_WHP_0014	godess whip
W_WHP_0015	null
W_WHP_0016	triple-tine whip
W_WHP_0017	null
W_WHP_0018	malevolash
W_WHP_0019	anchor or rancour
W_WHP_0020	hellbeast's leash
W_WHP_0021	uber gringham whip
W_STK_0001	serena's wand
W_STK_0002	lamp post
W_STK_0003	posey pole
W_STK_0004	lolly stick
W_STK_0005	jolly brolly
W_STK_0006	wyvern wand
W_STK_0007	seraphic sceptre
W_STK_0008	spryggdrasil
W_STK_0009	glumbrella
W_STK_0010	bonbon baton
W_STK_0011	red dragon rod
W_STK_0012	seraph's stick
W_STK_0013	butterfly baton
W_STK_0014	glow stick
W_STK_0015	get-up-and-glow stick
W_STK_0016	pixie pole
W_STK_0017	fantastick
W_STK_0018	cane of compassion
W_STK_0019	sceptre of time
W_STK_0020	faerie king's cane
W_STK_0021	rusty sceptre
W_STK_0022	naughty stick
W_SPR_0001	bronze lance
W_SPR_0002	iron lance
W_SPR_0003	battle fork
W_SPR_0004	steel lance
W_SPR_0005	jade's glave
W_SPR_0006	trident
W_SPR_0007	lightning lance
W_SPR_0008	platinum lance
W_SPR_0009	gracos's fork
W_SPR_0010	demon spear
W_SPR_0011	storm spear
W_SPR_0012	full fathom fork
W_SPR_0013	paladin's lance
W_SPR_0014	metal slime spear
W_SPR_0015	null
W_SPR_0016	seraph's spear
W_SPR_0017	null
W_SPR_0018	liquid metal spear
W_SPR_0019	null
W_SPR_0020	barbarous pole
W_SPR_0021	sacred spear
W_SPR_0022	heaven's talon
W_SPR_0023	metal king spear
W_SPR_0024	split-pot poker
W_AXE_0001	cavalier cleaver
W_AXE_0002	king axe
W_AXE_0003	ice axe
W_AXE_0004	kaiser axe
W_AXE_0005	obliteratoriser
W_AXE_0006	overlord's axe
W_AXE_0007	bad axe
W_AXE_0008	conqueror's axe
W_AXE_0009	avalanche axe
W_AXE_0010	maxi axe
W_AXE_0011	apollo's axe
W_AXE_0012	climaxe
W_AXE_0013	aristocrat's axe
W_AXE_0014	kairos cleaver
W_AXE_0015	galaxy axe
W_CLW_0001	iron claws
W_CLW_0002	silver claws
W_CLW_0003	infernails
W_CLW_0004	steel claws
W_CLW_0005	crow's claws
W_CLW_0006	platinum claws
W_CLW_0007	kestrel claws
W_CLW_0008	fire claws
W_CLW_0009	ice claws
W_CLW_0010	kite claws
W_CLW_0011	cobra claws
W_CLW_0012	dragon claws
W_CLW_0013	crimson claws
W_CLW_0014	beast claws
W_CLW_0015	null
W_CLW_0016	combusticlaws
W_CLW_0017	king cobra claws
W_CLW_0018	monster slashers
W_CLW_0019	null
W_CLW_0020	crystal claws
W_CLW_0021	dragovian lord claws
W_CLW_0022	orichalcum claws
W_CLW_0023	deicimators
W_CLW_0024	xenlon claws
W_CLW_0025	frostfire fingers
E_SHI_0001	pot lid
E_SHI_0002	leather shield
E_SHI_0003	scale shield
E_SHI_0004	silver platter
E_SHI_0005	gold platter
E_SHI_0006	light shield
E_SHI_0007	platinum platter
E_SHI_0008	magic shield
E_SHI_0009	flame shield
E_SHI_0010	flame shield
E_SHI_0011	ice shield
E_SHI_0012	white shield
E_SHI_0013	enchanted shield
E_SHI_0014	metal slime shield
E_SHI_0015	ethereal shield
E_SHI_0016	silver shield
E_SHI_0017	liquid metal slime shield
E_SHI_0018	psyche swiper
E_SHI_0019	devilry drinker
E_SHI_0020	erdwin's shield
E_SHI_0021	metal king shield
E_SHI_0022	soul sucker
E_LSH_0001	bronze shield
E_LSH_0002	iron shield
E_LSH_0003	steel shield
E_LSH_0004	shield od heliodor
E_LSH_0005	platinum shield
E_LSH_0006	warrior's shield
E_LSH_0007	dragon shield
E_LSH_0008	dark shield
E_LSH_0009	saintess shield
