I_BON_001	けもののホネ
I_BON_003	小さなうろこ
I_BON_004	小さなこうら
I_BON_005	大きなうろこ
I_BON_006	ドラゴンのツノ
I_BON_007	赤いサンゴ
I_BON_010	ソルティアナシェル
I_BON_011	大きなホネ
I_BON_014	するどい爪
I_BON_016	魔竜のホネ
I_BON_020	まじゅうのツノ
I_BON_022	白い貝がら
I_CLO_002	麻の糸
I_CLO_003	よるのとばり
I_CLO_004	あまつゆのいと
I_CLO_005	ようせいの綿花
I_CLO_006	さとりそう
I_CLO_007	さくらの花びら
I_CLO_008	レッドベリー
I_CLO_009	かがやきそう
I_CLO_010	なないろのまゆ
I_CLO_011	にじいろの布きれ
I_CLO_012	オーロラの布きれ
I_CLO_015	あやかしそう
I_CLO_016	コットン草
I_CLO_017	シルク草
I_CLO_018	かぜきりのはね
I_CLO_019	ちょうのはね
I_CLO_020	しおかぜ草
I_CLO_021	みかわしそう
I_JEW_001	レッドアイ
I_JEW_002	ブルーアイ
I_JEW_003	イエローアイ
I_JEW_004	グリーンアイ
I_JEW_005	パープルアイ
I_JEW_006	ピンクパール
I_JEW_007	ホワイトパール
I_JEW_008	ブラックパール
I_JEW_009	赤い宝石
I_JEW_010	青い宝石
I_JEW_012	黄色の宝石
I_JEW_013	緑の宝石
I_JEW_014	紫の宝石
I_JEW_016	やみのなみだ
I_JEW_017	アレキサンドライト
I_LEA_001	けものの皮
I_LEA_002	ふさふさの毛皮
I_LEA_003	まじゅうの皮
I_LEA_004	やわらかウール
I_LEA_006	魔竜の皮
I_LEA_009	ドラゴンの皮
I_MIN_001	どうのこうせき
I_MIN_002	てっこうせき
I_MIN_003	ぎんのこうせき
I_MIN_004	きんのこうせき
I_MIN_006	プラチナこうせき
I_MIN_007	ヘビーメタル
I_MIN_008	おうごんのかけら
I_MIN_009	きんかい
I_MIN_010	メタルのかけら
I_MIN_011	オリハルコン
I_MIN_012	竜のひせき
I_MIN_013	ヒヒイロカネ
I_MIN_014	だいしんかのひせき
I_MIN_017	ミスリルこうせき
I_OTH_001	うしのふん
I_OTH_002	うまのふん
I_OTH_003	まんねん雪
I_OTH_004	サバンナの水
I_OTH_006	きよめの水
I_OTH_007	いかずちのたま
I_OTH_008	せいじゃのはい
I_OTH_009	うるわしきのこ
I_OTH_010	かがやきの樹液
I_OTH_011	ときのすいしょう
I_OTH_012	スライムオイル
I_OTH_013	こうもりのはね
I_OTH_014	スライムゼリー
I_OTH_015	天使のソーマ
I_OTH_016	よごれたほうたい
I_OTH_017	ガマのあぶら
I_OTH_018	へびのぬけがら
I_OTH_019	さざなみのしずく
I_OTH_020	まりょくの土
I_OTH_023	ぶどうエキス
I_OTH_028	ふしぎな海草
I_OTH_029	サンドフルーツ
I_OTH_030	壁画のレプリカ
I_OTH_031	スライムのかんむり
I_STO_001	つけもの石
I_STO_002	しんかのひせき
I_STO_003	ホカホカストーン
I_STO_004	ふしぎなひだね
I_STO_005	せいれいせき
I_STO_006	ようがんのカケラ
I_STO_009	マグマの石
I_STO_010	ひかりの石
I_STO_011	みがきすな
I_STO_012	ほしのカケラ
I_STO_013	ネコずな
I_STO_014	こおりけっしょう
I_STO_015	かがみ石
I_STO_016	げんませき
I_STO_017	命の石
I_USE_001	やくそう
I_USE_002	上やくそう
I_USE_003	特やくそう
I_USE_004	いやしそう
I_USE_005	どくけしそう
I_USE_006	上どくけしそう
I_USE_007	特どくけしそう
I_USE_008	まんげつそう
I_USE_009	きつけそう
I_USE_010	つきのめぐみ
I_USE_011	天使のすず
I_USE_012	ばんのうぐすり
I_USE_013	超ばんのうぐすり
I_USE_014	せかいじゅのは
I_USE_015	せかいじゅのしずく
I_USE_016	まほうの小ビン
I_USE_017	まほうのせいすい
I_USE_018	けんじゃのせいすい
I_USE_019	エルフののみぐすり
I_USE_020	せいすい
I_USE_021	キメラのつばさ
I_USE_023	どくがのこな
I_USE_024	まだらぐものいと
I_USE_025	ゆめみの花
I_USE_026	めざめの花
I_USE_027	おかしなくすり
I_USE_028	ばくだん石
I_USE_029	けんじゃの石
I_USE_030	命のきのみ
I_USE_031	ふしぎなきのみ
I_USE_032	ちからのたね
I_USE_033	きようさのたね
I_USE_034	すばやさのたね
I_USE_035	まもりのたね
I_USE_036	まりょくのたね
I_USE_037	しんこうのたね
I_USE_038	スキルのたね
I_USE_039	うつくしそう
I_USE_040	きせきのきのみ
I_USE_041	きせきのしずく
I_USE_042	ユグノア銅貨
I_USE_043	ユグノア銀貨
I_USE_044	ユグノア金貨
I_USE_045	ちいさなメダル
I_USE_046	うちなおしの宝珠
I_USE_047	ラブリーエキス
I_USE_048	カジノコイン
I_USE_049	魔竜のたましい
I_USE_050	こやくカウンター
I_WOO_002	きれいな枝
I_WOO_005	あんこくの樹木
I_WOO_006	ほのおの樹木
I_WOO_007	こおりの樹木
I_WOO_008	まほうの樹木
I_WOO_009	巨竜樹の枝
I_WOO_010	サバンナウッド
I_WOO_011	紅蓮の大木
I_WOO_012	たそがれの樹木
I_WOO_013	やみの樹木
A_ARM_0001	きんのブレスレット
A_ARM_0002	命のブレスレット
A_ARM_0003	いやしのうでわ
A_ARM_0004	ごうけつのうでわ
A_ARM_0005	ようせいのうでわ
A_ARM_0006	インテリのうでわ
A_ARM_0007	ほしふるうでわ
A_ARM_1001	きんのブレスレット＋１
A_ARM_1002	命のブレスレット＋１
A_ARM_1003	いやしのうでわ＋１
A_ARM_1004	ごうけつのうでわ＋１
A_ARM_1005	ようせいのうでわ＋１
A_ARM_1006	インテリのうでわ＋１
A_ARM_1007	ほしふるうでわ＋１
A_ARM_2001	きんのブレスレット＋２
A_ARM_2002	命のブレスレット＋２
A_ARM_2003	いやしのうでわ＋２
A_ARM_2004	ごうけつのうでわ＋２
A_ARM_2005	ようせいのうでわ＋２
A_ARM_2006	インテリのうでわ＋２
A_ARM_2007	ほしふるうでわ＋２
A_ARM_3001	きんのブレスレット＋３
A_ARM_3002	命のブレスレット＋３
A_ARM_3003	いやしのうでわ＋３
A_ARM_3004	ごうけつのうでわ＋３
A_ARM_3005	ようせいのうでわ＋３
A_ARM_3006	インテリのうでわ＋３
A_ARM_3007	ほしふるうでわ＋３
A_FAC_0001	スライムピアス
A_FAC_0002	ぐるぐるメガネ
A_FAC_0003	炎のイヤリング
A_FAC_0004	氷のイヤリング
A_FAC_0005	雷のイヤリング
A_FAC_0006	風のイヤリング
A_FAC_0007	土のイヤリング
A_FAC_0008	光のイヤリング
A_FAC_0009	熱砂のイヤリング
A_FAC_0010	吹雪のイヤリング
A_FAC_0011	雷光のイヤリング
A_FAC_0012	インテリめがね
A_FAC_1001	スライムピアス＋１
A_FAC_1002	ぐるぐるメガネ＋１
A_FAC_1003	炎のイヤリング＋１
A_FAC_1004	氷のイヤリング＋１
A_FAC_1005	雷のイヤリング＋１
A_FAC_1006	風のイヤリング＋１
A_FAC_1007	土のイヤリング＋１
A_FAC_1008	光のイヤリング＋１
A_FAC_1009	熱砂のイヤリング＋１
A_FAC_1010	吹雪のイヤリング＋１
A_FAC_1011	雷光のイヤリング＋１
A_FAC_1012	インテリめがね＋１
A_FAC_2001	スライムピアス＋２
A_FAC_2002	ぐるぐるメガネ＋２
A_FAC_2003	炎のイヤリング＋２
A_FAC_2004	氷のイヤリング＋２
A_FAC_2005	雷のイヤリング＋２
A_FAC_2006	風のイヤリング＋２
A_FAC_2007	土のイヤリング＋２
A_FAC_2008	光のイヤリング＋２
A_FAC_2009	熱砂のイヤリング＋２
A_FAC_2010	吹雪のイヤリング＋２
A_FAC_2011	雷光のイヤリング＋２
A_FAC_2012	インテリめがね＋２
A_FAC_3001	スライムピアス＋３
A_FAC_3002	ぐるぐるメガネ＋３
A_FAC_3003	炎のイヤリング＋３
A_FAC_3004	氷のイヤリング＋３
A_FAC_3005	雷のイヤリング＋３
A_FAC_3006	風のイヤリング＋３
A_FAC_3007	土のイヤリング＋３
A_FAC_3008	光のイヤリング＋３
A_FAC_3009	熱砂のイヤリング＋３
A_FAC_3010	吹雪のイヤリング＋３
A_FAC_3011	雷光のイヤリング＋３
A_FAC_3012	インテリめがね＋３
A_FIN_0001	きせきのゆびわ
A_FIN_0002	ちからのゆびわ
A_FIN_0003	ピンクパールリング
A_FIN_0004	いのりのゆびわ
A_FIN_0005	はくあいのゆびわ
A_FIN_0006	破呪のリング
A_FIN_0007	きんのゆびわ
A_FIN_0008	破毒のリング
A_FIN_0009	破幻のリング
A_FIN_0010	まんげつのリング
A_FIN_0011	めざましリング
A_FIN_0012	りせいのリング
A_FIN_0013	ソーサリーリング
A_FIN_0014	はやてのリング
A_FIN_0015	ドクロのゆびわ
A_FIN_0016	命のゆびわ
